run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,year
Prod223_4022,09976188,2023-01-31,html,,2023-01-31,09976188,KALAN LIMITED,True,,2022-01-31,2022-01-31,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2023
Prod223_4023,11769690,2023-01-31,html,,2023-01-31,11769690,YHL CLOTHING LIMITED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Prod223_4023,11750373,2023-01-31,html,,2023-01-31,11750373,MORAN & PARTNERS LTD,False,0.0,2023-01-31,2023-01-31,,,,1593.0,,,,,,,,-42542.0,,,,,,,,,,,,,,,,2023
Prod223_4024,11189982,2023-02-28,html,,2023-02-28,11189982,PRESTIQ LTD,False,0,2023-02-28,2023-02-28,,,,99,,,442,442,442,,,442,,,,,,,,,,,,,,,,2023
Prod223_4023,11749902,2023-02-28,html,,2023-02-28,11749902,AAG Electrical Building Services Ltd,True,0.0,2022-02-28,2022-02-28,826.0,-157.0,20457.0,20300.0,5790.0,,14510.0,15336.0,336.0,,336.0,336.0,,,,,,,,,,,,,,,,2023
Prod223_4024,12477321,2023-02-28,html,,2023-02-28,12477321,JACOB MICHAEL LIMITED,False,0,2022-02-28,2022-02-28,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,,2023
Prod223_4023,10696922,2023-03-29,html,,2023-03-29,10696922,WRIGHT SPORTS MEDIA LIMITED,False,1.0,2022-03-29,2022-03-29,,,,6256.0,,,10624.0,10624.0,110937.0,,,110937.0,,,,,,,,,,,,,,,,2023
Prod223_4022,05675030,2023-03-30,html,,2023-03-30,05675030,Tk Bedrooms Limited,False,7.0,2022-03-31,2022-03-31,35437.0,85726.0,9722.0,107003.0,,,-16853.0,18584.0,-17383.0,,,100.0,,,,,,,,,,,,,,,,2023
Prod223_4024,04280975,2023-03-31,html,,2023-03-31,04280975,Peter Baker Motorcycles Direct Limited,False,3,2023-03-31,2023-03-31,605,10784,38661,64445,,,25125,25730,190,,,100,,,,,,,,,,,,,,,,2023
Prod223_4024,11329839,2023-03-31,html,,2023-03-31,11329839,Lainston Holdings Limited,False,0,2022-03-31,2022-03-31,,171775,9,171784,172350,,-566,,,750,-666,750,,,,,,,,,,,,,,,,2023
Prod223_4024,11422257,2023-03-31,html,,2023-03-31,11422257,Lainston Dutchman Limited,False,0,2022-03-31,2022-03-31,693923,502679,117,502796,1122636,,-619840,,30669,100,30569,100,,,,,,,,,,,,,,,,2023
Prod223_4024,11887181,2023-03-31,html,,2023-03-31,11887181,WOATI RECRUITS LTD,True,3,2022-03-31,2022-03-31,,,,0,,,0,0,0,,,0,,,,,,,,,,,,,,,,2023
Prod223_4024,08014558,2023-03-31,html,,2023-03-31,08014558,Stroud Property Management Ltd,False,1,2023-03-31,2023-03-31,,,,917237,654498,,264339,,155120,,,155120,,,,,,,,,,,,,,,,2023
Prod223_4023,11856334,2023-03-31,html,,2023-03-31,11856334,MAINTAIN SERVICES LTD,True,2.0,2023-03-31,2023-03-31,,,,2176.0,2645.0,,-469.0,-469.0,-469.0,,,-469.0,,,,,,,,,,,,,,,,2023
Prod223_4022,NI042341,2023-03-31,html,,2023-03-31,NI042341,TWINROCK LIMITED,False,4.0,2023-03-31,2023-03-31,25013.0,,,151070.0,,,48008.0,73021.0,50998.0,,,50998.0,,,,,,,,,,,,,,,,2023
Prod223_4023,10551982,2023-03-31,html,,2023-03-31,10551982,WONDERLAND ENTERTAINMENT GROUP LTD,False,1.0,2023-03-31,2023-03-31,498.0,,,272664.0,,,-110547.0,-110049.0,-152130.0,,,-152130.0,,,,,,,,,,,,,,,,2023
Prod223_4023,11853909,2023-03-31,html,,2023-03-31,11853909,DOVE RECRUITERS LTD,True,3.0,2023-03-31,2023-03-31,,,,2769.0,2739.0,,30.0,30.0,30.0,,,30.0,,,,,,,,,,,,,,,,2023
Prod223_4022,10074052,2023-04-06,html,,2023-04-06,10074052,BROADWAY TOWN LTD,False,0.0,2023-04-06,2023-04-06,5225000.0,,,15063.0,,,5441503.0,216503.0,216503.0,,,216503.0,,,,,,,,,,,,,,,,2023
Prod223_4023,12555600,2023-04-30,html,,2023-04-30,12555600,LEARNINGSPOT EDUCATION CENTRE LIMITED,True,,2023-04-30,2023-04-30,,,,,,,,,10.0,,,10.0,,,,,,,,,,,,,,,,2023
Prod223_4022,10713518,2023-04-30,html,,2023-04-30,10713518,PDUBZ LIMITED,False,0.05,2022-04-30,2022-04-30,8256.0,31815.0,10311.0,102126.0,,,-63328.0,-55072.0,-86686.0,,,2.0,,,,,,,,,,,,,,,,2023
Prod223_4023,SC674366,2023-04-30,html,,2023-04-30,SC674366,JOLLY ROGERS TATTOO LTD,True,,2022-04-30,2022-04-30,,,3.0,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11306209,2023-04-30,html,,2023-04-30,11306209,FBBAZ SYSTEMS LIMITED,False,2.0,2022-04-30,2022-04-30,1317.0,,,31649.0,,,13339.0,12022.0,12095.0,,,12095.0,,,,,,,,,,,,,,,,2023
Prod223_4024,06869026,2023-04-30,html,,2023-04-30,06869026,INVADEX CHILTERN LIMITED,False,1,2022-04-30,2022-04-30,,,,1000,,,1000,1000,1000,,,1000,,,,,,,,,,,,,,,,2023
Prod223_4023,NI669472,2023-05-30,html,,2023-05-30,NI669472,LARP- LUKAS AUTOMOTIV REFINISHING PRODUCTS LTD,False,1.0,2022-05-31,2022-05-31,,,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2023
Prod223_4023,07619814,2023-05-31,html,http://www.xbrl.org/uk/gaap/core/2009-09-01,2023-05-31,07619814,LOFTHOUSE TRANSPORT LTD,True,0.0,2022-05-31,2022-05-31,,,1.0,,,,,,104.0,,,104.0,,,,,,,,,,,,,,,,2023
Prod223_4022,09599013,2023-05-31,html,,2023-05-31,09599013,P PRINTERS LTD,True,0.0,2022-05-31,2022-05-31,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,2023
Prod223_4024,11975058,2023-05-31,html,,2023-05-31,11975058,Cafe Racer Yorkshire Limited,False,1,2023-05-31,2023-05-31,27976,15127,3318,18695,,,-35444,-7468,-44969,,,100,,,,,,,,,,,,,,,,2023
Prod223_4023,08429035,2023-06-30,html,,2023-06-30,08429035,JWL Private Limited,False,0.0,2023-06-30,2023-06-30,1032219.0,,,36962.0,,,-1532788.0,-500569.0,-527466.0,,,-527466.0,,,,,,,,,,,,,,,,2023
Prod223_4024,08943864,2023-06-30,html,,2023-06-30,08943864,Connoco Asset Management Ltd,False,1,2023-06-30,2023-06-30,486776,40539,10393,50932,,,-230730,256046,81155,1,81154,1,,,,,,,,,,,,,,,,2023
Prod223_4022,13437584,2023-06-30,html,,2023-06-30,13437584,Project Valets Ltd,False,0.0,2022-06-30,2022-06-30,,,,17070.0,,,20.0,20.0,20.0,,,20.0,,,,,,,,,,,,,,,,2023
Prod223_4022,12030484,2023-06-30,html,,2023-06-30,12030484,MSR CLEANING LTD,True,,2022-06-30,2022-06-30,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11435389,2023-06-30,html,,2023-06-30,11435389,NEWMARKET ROAD PROJECTS LTD,False,1.0,2023-06-30,2023-06-30,,,,,,,0.0,1.0,18999.0,,,18999.0,,,,,,,,,,,,,,,,2023
Prod223_4023,10821144,2023-06-30,html,,2023-06-30,10821144,SFrancis Estates Limited,False,0.0,2023-06-30,2023-06-30,,,,8517.0,4066.0,,4451.0,4451.0,-1746.0,,,-1746.0,,,,,,,,,,,,,,,,2023
Prod223_4023,SC663732,2023-06-30,html,,2023-06-30,SC663732,MEDICAL ASSISTANT LTD,False,2.0,2022-06-30,2022-06-30,44256.0,,,30523.0,,,15023.0,59289.0,9289.0,,,9289.0,,,,,,,,,,,,,,,,2023
Prod223_4023,12061864,2023-06-30,html,,2023-06-30,12061864,LOVE OF HOUSE RECORDS LIMITED,True,3.0,2022-06-30,2022-06-30,0.0,0.0,3.0,3.0,,,3.0,3.0,3.0,3.0,0.0,3.0,,,,,,,,,,,,,,,,2023
Prod223_4022,10287195,2023-07-30,html,,2023-07-30,10287195,Staffordshire Savoury Scotch Eggs Limited,False,7.0,2022-07-31,2022-07-31,19526.0,,,23910.0,46917.0,,-23007.0,-3481.0,-7198.0,,,-7198.0,,,,,,,,,,,,,,,,2023
Prod223_4024,SC637514,2023-07-31,html,,2023-07-31,SC637514,R H ELLIOTT LTD,False,0,2022-07-31,2022-07-31,11604,,,539,,,17495,5891,10286,,,10286,,,,,,,,,,,,,,,,2023
Prod223_4022,07723116,2023-07-31,html,,2023-07-31,07723116,PRESTIGE VENTURES LIMITED,True,,2022-07-31,2022-07-31,,,,,,,,,1000.0,,,1000.0,,,,,,,,,,,,,,,,2023
Prod223_4023,12117483,2023-07-31,html,,2023-07-31,12117483,ATLAS VOYAGE SECURE LIMITED,True,,2023-07-31,2023-07-31,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2023
Prod223_4022,12719076,2023-07-31,html,,2023-07-31,12719076,BROKEN WHISPERS COMMUNITY INTEREST COMPANY,False,0.0,2022-07-31,2022-07-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,2023
