run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,year
Prod223_4023,11488705,2023-07-31,html,,2023-07-31,11488705,Stone Circle Mead Company Limited,False,2.0,2022-07-31,2022-07-31,14074.0,,,20524.0,,,-57804.0,-43730.0,-72761.0,,,-72761.0,,,,,,,,,,,,,,,,2023
Prod223_4022,10867212,2023-07-31,html,,2023-07-31,10867212,OPTIMA VETERINARY SOLUTIONS LTD,True,,2022-07-31,2022-07-31,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2023
Prod223_4022,12789344,2023-08-24,html,,2023-08-24,12789344,MYLO ESTATES LTD,True,,2022-08-31,2022-08-31,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,2023
Prod223_4023,SC535308,2023-08-31,html,,2023-08-31,SC535308,TFG 1 LTD,False,2.0,2023-08-31,2023-08-31,,,,44461.0,34572.0,,9889.0,9889.0,-11431.0,,,-11431.0,,,,,,,,,,,,,,,,2023
Prod223_4023,05880477,2023-08-31,html,,2023-08-31,05880477,CMM GROUP LIMITED,False,1.0,2023-08-31,2023-08-31,652496.0,,,5630.0,,,135678.0,516818.0,10739.0,,,10739.0,,,,,,,,,,,,,,,,2023
Prod223_4022,12799453,2023-08-31,html,,2023-08-31,12799453,BEAUTIFIC NAILS LIMITED,True,,2022-08-31,2022-08-31,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,2023
Prod223_4022,07974740,2023-08-31,html,,2023-08-31,07974740,BESPOKE HANDLING SOLUTIONS LTD,True,,2023-08-31,2023-08-31,,,,,,,,,1000.0,,,1000.0,,,,,,,,,,,,,,,,2023
Prod223_4022,08657057,2023-08-31,html,,2023-08-31,08657057,C.K POWDER COATINGS LIMITED,True,,2023-08-31,2023-08-31,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,2023
Prod223_4022,08659110,2023-08-31,html,,2023-08-31,08659110,YAZZ SERVICES LTD,False,1.0,2023-08-31,2023-08-31,,,,,,,0.0,100.0,100.0,,,100.0,,,,,,,,,,,,,,,,2023
Prod223_4022,10344516,2023-08-31,html,,2023-08-31,10344516,S & E SECURITY LIMITED,False,0.0,2023-08-31,2023-08-31,8300.0,42753.0,1302.0,44055.0,37503.0,,6552.0,14852.0,3352.0,2.0,3350.0,2.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11512788,2023-08-31,html,,2023-08-31,11512788,SSBC ADVISORY LIMITED,False,0.0,2022-08-31,2022-08-31,,,,55000.0,,,68000.0,68000.0,13000.0,,,13000.0,,,,,,,,,,,,,,,,2023
Prod223_4023,11546100,2023-08-31,html,,2023-08-31,11546100,LAURA SPENCE AESTHETICS LIMITED,False,0.0,2022-08-31,2022-08-31,,,,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2023
Prod223_4022,08686366,2023-09-27,html,,2023-09-27,08686366,Resi Uk 3 Limited,False,0.0,2022-09-30,2022-09-30,,1000.0,6407.0,7407.0,,,-345841.0,1474623.0,241533.0,,,100.0,,,,,,,,,,,,,,,,2023
Prod223_4024,10382516,2023-09-30,html,,2023-09-30,10382516,MICHAEL DYNAMICS GROUP LIMITED,False,0,2022-09-30,2022-09-30,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,,2023
Prod223_4023,05547466,2023-09-30,html,,2023-09-30,05547466,PHG PROPERTY LIMITED,False,6.0,2023-09-30,2023-09-30,,21709.0,4901.0,26610.0,,,-423568.0,,,,,100.0,,,,,,,,,,,,,,,,2023
Prod223_4023,13625569,2023-09-30,html,,2023-09-30,13625569,NCV GROUP LIMITED,True,,2023-09-30,2023-09-30,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2023
Prod223_4023,09403976,2023-09-30,html,,2023-09-30,09403976,PROPERTY HOLDINGS GROUP LIMITED,False,1.0,2023-09-30,2023-09-30,,19.0,,,,,-143212.0,-143112.0,,,,100.0,,,,,,,,,,,,,,,,2023
Prod223_4022,12892802,2023-09-30,html,,2023-09-30,12892802,KREATIVE ATELIER LTD,False,0.0,2023-09-30,2023-09-30,,,,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2023
Prod223_4022,09477275,2023-09-30,html,,2023-09-30,09477275,JW PUBS LTD,True,,2022-09-30,2022-09-30,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2023
Prod223_4022,09223743,2023-09-30,html,,2023-09-30,09223743,THE LONDON AGENCY LIMITED,False,1.0,2022-09-30,2022-09-30,498.0,,,169093.0,,,169093.0,169591.0,71299.0,,,71299.0,,,,,,,,,,,,,,,,2023
Prod223_4022,12284931,2023-10-31,html,,2023-10-31,12284931,ES1 LIMITED,False,1.0,2022-10-31,2022-10-31,,,,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2023
Prod223_4024,11634235,2023-10-31,html,,2023-10-31,11634235,B & P INSULATION LTD,False,2,2023-10-31,2023-10-31,,,,22529,,,22529,22529,558,,,558,,,,,,,,,,,,,,,,2023
Prod223_4022,09628541,2023-10-31,html,,2023-10-31,09628541,JUCAN SOLUTIONS LTD,False,1.0,2023-10-31,2023-10-31,,,,,,,2521.0,2521.0,-7608.0,,,-7608.0,,,,,,,,,,,,,,,,2023
Prod223_4022,09819674,2023-10-31,html,,2023-10-31,09819674,SERENDIPITY COFFEE COMPANY LIMITED,False,4.0,2023-10-31,2023-10-31,7788.0,,,15000.0,,,16045.0,8257.0,32633.0,,,32633.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11004777,2023-10-31,html,,2023-10-31,11004777,SILVER STAR HOMES LTD,False,1.0,2023-10-31,2023-10-31,755000.0,,,32500.0,,,32500.0,787500.0,27500.0,,,27500.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11615631,2023-10-31,html,,2023-10-31,11615631,THE PRACTICAL WINDOWS COMPANY LTD,False,2.0,2023-10-31,2023-10-31,8500.0,,,2567.0,,,2567.0,11067.0,11067.0,,,11067.0,,,,,,,,,,,,,,,,2023
Prod223_4022,SC678348,2023-10-31,html,,2023-10-31,SC678348,GLASGOW BUSINESS CONSULTING LTD,False,0.0,2023-10-31,2023-10-31,70442.0,,,650.0,,,69150.0,1292.0,1292.0,,,1292.0,,,,,,,,,,,,,,,,2023
Prod223_4022,12963070,2023-10-31,html,,2023-10-31,12963070,OLIVE AND SAGE LIMITED,True,,2022-10-31,2022-10-31,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11966262,2023-10-31,html,,2023-10-31,11966262,HOLLSCOPE SOLUTIONS LIMITED,True,,2023-10-31,2023-10-31,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2023
Prod223_4022,10472339,2023-11-28,html,,2023-11-28,10472339,DS ENVIRONMENTAL SERVICES LIMITED,True,,2023-11-28,2023-11-28,,,,,,,,,287759.0,,,287759.0,,,,,,,,,,,,,,,,2023
Prod223_4024,SC778905,2023-11-30,html,,2023-11-30,SC778905,CROWWOOD HOTEL LTD,True,0,2023-11-30,2023-11-30,,,,100,,,100,100,100,,,100,,,,,,,,,,,,,,,,2023
Prod223_4024,SC491815,2023-11-30,html,,2023-11-30,SC491815,BOWBRIDGE PROPERTIES (UK) LIMITED,False,0,2023-11-30,2023-11-30,164,,,31273,,,3287,3123,3123,,,3123,,,,,,,,,,,,,,,,2023
Prod223_4024,11060590,2023-11-30,html,,2023-11-30,11060590,35 Vapours Limited,False,1,2023-11-30,2023-11-30,,,,18433,,,12652,12652,-26881,,,-26881,,,,,,,,,,,,,,,,2023
Prod223_4024,SC779836,2023-11-30,html,,2023-11-30,SC779836,CROWWOOD ALBA RESTAURANT LTD,True,0,2023-11-30,2023-11-30,,,,10,,,10,10,10,,,10,,,,,,,,,,,,,,,,2023
Prod223_4022,12301726,2023-11-30,html,,2023-11-30,12301726,ROBUSTO LIMITED,False,0.0,2022-11-30,2022-11-30,,,,24610.0,,,42456.0,42456.0,42549.0,,,42549.0,,,,,,,,,,,,,,,,2023
Prod223_4022,06423886,2023-11-30,html,,2023-11-30,06423886,PRIMED EDUCATION LIMITED,True,0.0,2023-11-30,2023-11-30,,,,,6861.0,,-6861.0,-6861.0,-6861.0,,,-6861.0,,,,,,,,,,,,,,,,2023
Prod223_4023,12301478,2023-11-30,html,,2023-11-30,12301478,DISTRIBUTION FORWARD LIMITED,False,0.0,2023-11-30,2023-11-30,,,,,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11684029,2023-11-30,html,,2023-11-30,11684029,Benson Property Management Services Limited,False,,2022-11-30,2022-11-30,8077383.0,,,140018.0,,,-3382508.0,4694875.0,4681575.0,,,4681575.0,,,,,,,,,,,,,,,,2023
Prod223_4024,SC778931,2023-11-30,html,,2023-11-30,SC778931,CLAREMONT HOTEL ALLOA LTD,True,0,2023-11-30,2023-11-30,,,,10,,,10,10,10,,,10,,,,,,,,,,,,,,,,2023
Prod223_4024,10839576,2023-12-26,html,,2023-12-26,10839576,LUCKY SEVEN LIMITED,False,3,2022-12-27,2022-12-27,,28652,6685,106393,,,-397300,-397300,,,,1,,,,,,,,,,,,,,,,2023
Prod223_4023,13107235,2023-12-30,html,,2023-12-30,13107235,NORTHWOOD FACILITIES LTD,False,2.0,2023-01-01,2023-01-01,,,,13192.0,,,9702.0,9702.0,1000.0,,,1000.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11730431,2023-12-30,html,,2023-12-30,11730431,GLOBAL PRIME GOODS LIMITED,False,0.0,2022-12-30,2022-12-30,,,,60499.0,,,,,,,,-77041.0,,,,,,,,,,,,,,,,2023
Prod223_4024,SC075908,2023-12-31,html,,2023-12-31,SC075908,SMILLIE METALLICS (MIDLANDS) LIMITED,False,8,2022-12-31,2022-12-31,852,84634,889982,991861,,,905118,905970,,,,10000,,,,,,,,,,,,,,,,2023
Prod223_4022,08329386,2023-12-31,html,,2023-12-31,08329386,SPEEDTECH BUSINESS LTD,False,1.0,2023-12-31,2023-12-31,638.0,,,17661.0,,,15203.0,15841.0,-36128.0,,,-36128.0,,,,,,,,,,,,,,,,2023
Prod223_4024,SC271214,2023-12-31,html,,2023-12-31,SC271214,JOHN R ADAM & SONS (HOLDINGS) LIMITED,False,35,2023-12-31,2023-12-31,3200000,,4293293,4293293,,,4179664,7379664,7354664,,,460625,,,,,,,,,,,,,,,,2023
Prod223_4022,15282097,2023-12-31,html,,2023-12-31,15282097,17 STANFORD ROAD MANAGEMENT COMPANY LIMITED,True,,2023-12-31,2023-12-31,,,3.0,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,2023
Prod223_4022,07764692,2023-12-31,html,,2023-12-31,07764692,DISTINCTIVE TRADE LTD,True,0.0,2023-12-31,2023-12-31,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2023
Prod223_4024,07452621,2023-12-31,html,,2023-12-31,07452621,Downtown Music UK Ltd,False,18,2022-12-31,2022-12-31,7565,24479871,1423470,25903341,,,-6448090,,-6440525,,,514,,,,,,,,,,,,,,,,2023
Prod223_4022,03251952,2023-12-31,html,,2023-12-31,03251952,SMILEYWORLD LIMITED,False,35.0,2023-12-31,2023-12-31,1518908.0,10562185.0,159345.0,10721530.0,,,4483114.0,6002022.0,5985550.0,,,11500100.0,,,,,,,,,,,,,,,,2023
Prod223_4022,SC225775,2023-12-31,html,,2023-12-31,SC225775,STRATHMORE HOTELS (SCOTLAND) LIMITED,False,0.0,2022-12-31,2022-12-31,,,,,,,-933247.0,2866613.0,2433113.0,,,302000.0,,,,,,,,,,,,,,,,2023
Prod223_4022,SC598864,2023-12-31,html,,2023-12-31,SC598864,STRATHMORE LEISURE LIMITED,False,1.0,2023-12-31,2023-12-31,31735029.0,250000.0,20057.0,250408.0,,,-2387844.0,31735029.0,11033210.0,,,2383139.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11101549,2023-12-31,html,,2023-12-31,11101549,ZA PROPERTY LTD,False,1.0,2023-12-31,2023-12-31,47642.0,,,18778.0,,,12420.0,60062.0,47535.0,,,47535.0,,,,,,,,,,,,,,,,2023
Prod223_4023,02517992,2023-12-31,html,,2023-12-31,02517992,FOLEY LIMITED,False,2.0,2023-12-31,2023-12-31,37537.0,247419.0,17707.0,280746.0,,,18244.0,55781.0,-21989.0,,,2.0,,,,,,,,,,,,,,,,2023
Prod223_4023,11127240,2023-12-31,html,,2023-12-31,11127240,YOGAHAUS LTD,False,0.0,2022-12-31,2022-12-31,,,,10856.0,9800.0,,1056.0,1056.0,1056.0,,,1056.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11725672,2023-12-31,html,,2023-12-31,11725672,EAR AND HEARING CLINIC LTD,False,2.0,2023-12-31,2023-12-31,20191.0,,35957.0,35957.0,,,6102.0,26293.0,-8616.0,,,1.0,,,,,,,,,,,,,,,,2023
Prod223_4022,12349337,2023-12-31,html,,2023-12-31,12349337,BETTER CARE LONDON LIMITED,False,0.0,2023-12-31,2023-12-31,,,,9329.0,,,9329.0,9329.0,40182.0,,,40182.0,,,,,,,,,,,,,,,,2023
Prod223_4022,12341805,2023-12-31,html,,2023-12-31,12341805,TO AND FROM LTD,True,,2022-12-31,2022-12-31,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,2023
Prod223_4022,11875845,2023-12-31,html,,2023-12-31,11875845,T4C CONTRACTORS LTD,True,0.0,2023-12-31,2023-12-31,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2023
Prod223_4023,09982971,2023-12-31,html,,2023-12-31,09982971,Social Station Group Ltd,False,0.0,2023-08-31,2023-08-31,,541.0,9065.0,9606.0,,,-357724.0,,-357724.0,,,1.0,,,,,,,,,,,,,,,,2023
Prod223_4023,06662910,2023-12-31,html,,2023-12-31,06662910,RETAIL RESEARCH LTD.,False,1.0,2022-12-31,2022-12-31,,,,80884.0,,,80884.0,80884.0,80884.0,,,80884.0,,,,,,,,,,,,,,,,2023
Prod223_4022,13809295,2023-12-31,html,,2023-12-31,13809295,Atlinks UK Ltd,False,2.0,2023-12-31,2023-12-31,,438809.0,67056.0,1363617.0,,,-62407.0,-62407.0,-62407.0,1000.0,-63407.0,1000.0,,,,,,,,,,,,,,,,2023
Prod223_4023,15315272,2023-12-31,html,,2023-12-31,15315272,HOLLY KING PERFORMING ARTS ACADEMY LTD,True,,2023-12-31,2023-12-31,,,100.0,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,2023
Prod223_4023,13798334,2023-12-31,html,,2023-12-31,13798334,BOOTLE MOT CENTRE LTD,False,0.0,2022-12-31,2022-12-31,5423.0,,,9323.0,,,5422.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,2023
Prod223_4022,14850902,2023-12-31,html,,2023-12-31,14850902,T & L VEHICLE REPAIRS LTD,False,2.0,2023-12-31,2023-12-31,,,,,,,23890.0,23889.0,23889.0,,,23889.0,,,,,,,,,,,,,,,,2023
Prod223_4022,SC128215,2023-12-31,html,,2023-12-31,SC128215,STRATHMORE HOTELS LIMITED,False,376.0,2023-12-31,2023-12-31,31735029.0,7192366.0,19649.0,7518982.0,,,2247333.0,33982362.0,19922532.0,,,250000.0,,,,,,,,,,,,,,,,2023
