run_code,company_id,date,file_type,taxonomy,balance_sheet_date,companies_house_registered_number,entity_current_legal_name,company_dormant,average_number_employees_during_period,period_start,period_end,tangible_fixed_assets,debtors,cash_bank_in_hand,current_assets,creditors_due_within_one_year,creditors_due_after_one_year,net_current_assets_liabilities,total_assets_less_current_liabilities,net_assets_liabilities_including_pension_asset_liability,called_up_share_capital,profit_loss_account_reserve,shareholder_funds,turnover_gross_operating_revenue,other_operating_income,cost_sales,gross_profit_loss,administrative_expenses,raw_materials_consumables,staff_costs,depreciation_other_amounts_written_off_tangible_intangible_fixed_assets,other_operating_charges_format2,operating_profit_loss,profit_loss_on_ordinary_activities_before_tax,tax_on_profit_or_loss_on_ordinary_activities,profit_loss_for_period,error,zip_url,year
Prod223_4022,12634532,2024-01-29,html,,2024-01-29,12634532,JARDINE NORTON AVIATION LIMITED,False,0.0,2024-01-29,2024-01-29,,,,95652.0,,,21212.0,21212.0,21212.0,,,21212.0,,,,,,,,,,,,,,,,2024
Prod223_4024,15291771,2024-01-30,html,,2024-01-30,15291771,707 MANAGEMENT LTD,True,,2024-01-30,2024-01-30,,,2,,,,,,2,,,2,,,,,,,,,,,,,,,,2024
Prod223_4022,15144918,2024-01-31,html,,2024-01-31,15144918,WHITE HORSE RENEWABLES LTD,True,,2024-01-31,2024-01-31,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,2024
Prod223_4022,14625792,2024-01-31,html,,2024-01-31,14625792,ELMWOODS GROUP UK LIMITED,False,11.0,2024-01-31,2024-01-31,7709.0,,,1265501.0,,,,,,,,-120878.0,,,,,,,,,,,,,,,,2024
Prod223_4024,11012113,2024-01-31,html,,2024-01-31,11012113,Twentyco Limited,False,3,2023-01-31,2023-01-31,63706,349822,135676,485498,,,108719,,172425,,,100,,,,,,,,,,,,,,,,2024
Prod223_4022,12387832,2024-01-31,html,,2024-01-31,12387832,MISTAYCATIONS LIMITED,True,,2023-01-31,2023-01-31,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2024
Prod223_4023,11750373,2024-01-31,html,,2024-01-31,11750373,MORAN & PARTNERS LTD,False,0.0,2024-01-31,2024-01-31,,,,3108.0,,,,,,,,-45089.0,,,,,,,,,,,,,,,,2024
Prod223_4022,11759873,2024-01-31,html,,2024-01-31,11759873,Flanders Property Investment Limited,False,1.0,2023-01-31,2023-01-31,297505.0,,,10.0,,,-281641.0,15864.0,14664.0,,,14664.0,,,,,,,,,,,,,,,,2024
Prod223_4023,11769690,2024-01-31,html,,2024-01-31,11769690,YHL CLOTHING LIMITED,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Prod223_4022,11779694,2024-01-31,html,,2024-01-31,11779694,QUINTRIX PROPERTY MANAGEMENT LIMITED,True,,2023-01-31,2023-01-31,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2024
Prod223_4022,OC397569,2024-01-31,html,,2024-01-31,OC397569,Fine Central Marketing LLP,False,2.0,2023-01-31,2023-01-31,,,7357.0,7357.0,,,4525.0,4525.0,4525.0,,,,,,,,,,,,,,,,,,,2024
Prod223_4023,13149364,2024-01-31,html,,2024-01-31,13149364,BOMBAY BOWL LTD,False,0.0,2023-01-31,2023-01-31,10598.0,,,4892.0,,,4892.0,15490.0,39104.0,,,39104.0,,,,,,,,,,,,,,,,2024
Prod223_4022,14581106,2024-01-31,html,,2024-01-31,14581106,HYDRO AUTO-ENERGIES LTD,False,2.0,2024-01-31,2024-01-31,6000.0,,,6000.0,,,5000.0,11000.0,9000.0,,,9000.0,,,,,,,,,,,,,,,,2024
Prod223_4022,09976188,2024-01-31,html,,2024-01-31,09976188,KALAN LIMITED,True,,2024-01-31,2024-01-31,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2024
Prod223_4023,11766145,2024-01-31,html,,2024-01-31,11766145,NCC FACILITIES MANAGEMENT LTD.,False,1.0,2024-01-31,2024-01-31,,,,,,,0.0,0.0,3700.0,,,3700.0,,,,,,,,,,,,,,,,2024
Prod223_4024,13138261,2024-01-31,html,,2024-01-31,13138261,HOME HOUSE GROUP LTD,False,1,2024-01-31,2024-01-31,23554,,,19588,,,17088,40642,40642,,,40642,,,,,,,,,,,,,,,,2024
Prod223_4024,14672440,2024-02-21,html,,2024-02-21,14672440,BESWRICK GROUP LTD,True,,2024-02-21,2024-02-21,,,,,,,,,10,,,10,,,,,,,,,,,,,,,,2024
Prod223_4023,14674366,2024-02-27,html,,2024-02-27,14674366,Delia Interiors Ltd,False,3.0,2024-02-27,2024-02-27,,,,130861.0,,,82935.0,82935.0,56320.0,,,56320.0,,,,,,,,,,,,,,,,2024
Prod223_4022,14660427,2024-02-28,html,,2024-02-28,14660427,JR OUTSOURCING & MARKETING LTD,False,1.0,2024-02-28,2024-02-28,,,,,,,,,-353.0,,,,,,,,,,,,,,,,,,,2024
Prod223_4022,11824074,2024-02-28,html,,2024-02-28,11824074,ALEVIKING LTD,False,1.0,2024-02-28,2024-02-28,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2024
Prod223_4024,11189982,2024-02-28,html,,2024-02-28,11189982,PRESTIQ LTD,False,0,2023-02-28,2023-02-28,,,,99,,,442,442,442,,,442,,,,,,,,,,,,,,,,2024
Prod223_4022,11228192,2024-02-28,html,,2024-02-28,11228192,Raise Property 1 Limited,False,,2024-02-28,2024-02-28,645639.0,105656.0,9.0,105665.0,,,-573039.0,72600.0,24775.0,100.0,-71997.0,100.0,,,,,,,,,,,,,,,,2024
Prod223_4022,11811480,2024-02-28,html,,2024-02-28,11811480,QUINTRIX SERVICES LTD,True,,2023-02-28,2023-02-28,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2024
Prod223_4023,11807478,2024-02-28,html,,2024-02-28,11807478,E & E Property & Investment Limited,False,,2024-02-28,2024-02-28,390100.0,,19760.0,19760.0,,,6993.0,397093.0,50467.0,1000.0,49467.0,1000.0,,,,,,,,,,,,,,,,2024
Prod223_4022,14677152,2024-02-28,html,,2024-02-28,14677152,YANKOV SERVICES LTD,True,,2024-02-28,2024-02-28,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,2024
Prod223_4024,12516195,2024-02-29,html,,2024-02-29,12516195,THUNDERHOST LIMITED,False,1,2023-03-01,2023-03-01,122,,,26524,26645,,-121,1,1,,,1,,,,,,,,,,,,,,,,2024
Prod223_4024,13215297,2024-02-29,html,,2024-02-29,13215297,AKOMER SERVICES LTD,False,2,2023-02-28,2023-02-28,,,,1176,1171,,5,5,5,,,5,,,,,,,,,,,,,,,,2024
Prod223_4024,14681610,2024-02-29,html,,2024-02-29,14681610,CRNEWMAN ASSOCIATES LIMITED,False,0,2024-02-29,2024-02-29,,,,39814,,,1056,1056,,,,1056,,,,,,,,,,,,,,,,2024
Prod223_4022,NI617026,2024-02-29,html,,2024-02-29,NI617026,HHS (NI) Ltd,False,2.0,2024-02-29,2024-02-29,327017.0,,,10430.0,49295.0,,-38865.0,288152.0,-9241.0,,,-9241.0,,,,,,,,,,,,,,,,2024
Prod223_4024,12477321,2024-02-29,html,,2024-02-29,12477321,JACOB MICHAEL LIMITED,False,0,2024-02-29,2024-02-29,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,,2024
Prod223_4023,11686829,2024-02-29,html,,2024-02-29,11686829,Gabriel Scott Ltd,False,6.0,2023-02-28,2023-02-28,101386.0,820299.0,42725.0,1283063.0,,,-186362.0,-84976.0,-112476.0,,,1.0,,,,,,,,,,,,,,,,2024
Prod223_4023,13884984,2024-02-29,html,,2024-02-29,13884984,Edward Man Global Ltd,False,0.0,2023-02-28,2023-02-28,,,,7274.0,,,138.0,138.0,,,,138.0,,,,,,,,,,,,,,,,2024
Prod223_4023,08067460,2024-02-29,html,,2024-02-29,08067460,ALAN COOKE ESTATE AGENTS (MEANWOOD) LIMITED,False,5.0,2024-02-29,2024-02-29,26826.0,318355.0,30.0,318385.0,,,19810.0,46636.0,23356.0,,,102.0,,,,,,,,,,,,,,,,2024
Prod223_4022,06109816,2024-02-29,html,,2024-02-29,06109816,ELFIELD CONSTRUCTION LIMITED,False,8.0,2023-02-28,2023-02-28,6866.0,1909018.0,3376.0,2089894.0,,,-93741.0,-86875.0,-142208.0,,,2.0,,,,,,,,,,,,,,,,2024
Prod223_4024,12476947,2024-02-29,html,,2024-02-29,12476947,MICHAEL CONSULTING PARTNERS LIMITED,False,0,2023-02-28,2023-02-28,,,,,,,0,0,0,,,0,,,,,,,,,,,,,,,,2024
Prod223_4023,06491849,2024-02-29,html,,2024-02-29,06491849,Peter Baker Motorcycles Limited,False,0.0,2023-02-28,2023-02-28,4364.0,916.0,53872.0,54788.0,,,-5719.0,-1355.0,,,,100.0,,,,,,,,,,,,,,,,2024
Prod223_4023,SC655809,2024-02-29,html,,2024-02-29,SC655809,MEDIAL ASSISTANT LTD,False,3.0,2024-02-29,2024-02-29,45756.0,,,12580.0,,,30920.0,14836.0,14836.0,,,14836.0,,,,,,,,,,,,,,,,2024
Prod223_4023,11821656,2024-02-29,html,,2024-02-29,11821656,DUO RECRUITMENT LTD,False,2.0,2023-02-28,2023-02-28,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,2024
Prod223_4023,14647864,2024-02-29,html,,2024-02-29,14647864,Jessica's Place Ltd,False,1.0,2024-02-29,2024-02-29,479.0,,,870.0,,,-5314.0,-4835.0,-6005.0,,,-6005.0,,,,,,,,,,,,,,,,2024
Prod223_4022,13232019,2024-02-29,html,,2024-02-29,13232019,SLIABHCALLAN LTD,False,10.0,2023-02-28,2023-02-28,25504.0,,,36362.0,,,-128680.0,-103176.0,-103176.0,,,-103176.0,,,,,,,,,,,,,,,,2024
Prod223_4022,11808340,2024-02-29,html,,2024-02-29,11808340,CONNECT AND CHANGE LTD,False,1.0,2024-02-29,2024-02-29,2836.0,,,681699.0,,,191051.0,193887.0,14613.0,,,14613.0,,,,,,,,,,,,,,,,2024
Prod223_4022,13908960,2024-02-29,html,,2024-02-29,13908960,Premier Building Maintenance Ltd,False,2.0,2024-02-29,2024-02-29,20420.0,47846.0,5317.0,54690.0,,,-13990.0,6430.0,2550.0,,,100.0,,,,,,,,,,,,,,,,2024
Prod223_4022,11185091,2024-02-29,html,,2024-02-29,11185091,SOL Domestic Cleaning Services Limited,False,2.0,2024-02-29,2024-02-29,,,,61.0,,,-7226.0,-7226.0,-12172.0,,,-12172.0,,,,,,,,,,,,,,,,2024
Prod223_4023,11749902,2024-02-29,html,,2024-02-29,11749902,AAG Electrical Building Services Ltd,True,0.0,2024-02-29,2024-02-29,826.0,-157.0,20457.0,20300.0,5790.0,,14510.0,15336.0,336.0,,336.0,336.0,,,,,,,,,,,,,,,,2024
Prod223_4023,13210299,2024-02-29,html,,2024-02-29,13210299,Skinz Detailing Studio Ltd,False,2.0,2024-02-29,2024-02-29,5470.0,,,43827.0,150565.0,,-106421.0,-100951.0,-102051.0,,,-102051.0,,,,,,,,,,,,,,,,2024
Prod223_4022,00920442,2024-03-28,html,,2024-03-28,00920442,STANGRANGE LIMITED,False,0.0,2024-03-28,2024-03-28,405000.0,,,56341.0,,,349469.0,55531.0,54881.0,,,54881.0,,,,,,,,,,,,,,,,2024
Prod223_4023,NI695190,2024-03-29,html,,2024-03-29,NI695190,JCA ONE HUNDRED AND TWENTY ONE LIMITED,False,0.0,2024-03-29,2024-03-29,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,2024
Prod223_4023,NI695188,2024-03-29,html,,2024-03-29,NI695188,JCA ONE HUNDRED AND NINETEEN LIMITED,False,0.0,2024-03-29,2024-03-29,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,2024
Prod223_4024,05107778,2024-03-30,html,,2024-03-30,05107778,THAI EMERALD LIMITED,False,54,2024-03-30,2024-03-30,219236,344373,138490,496328,,,-180005,39231,28814,,,500,,,,,,,,,,,,,,,,2024
Prod223_4024,14344725,2024-03-30,html,,2024-03-30,14344725,DEVINCO GROUP LIMITED,False,1,2023-03-30,2023-03-30,,7263,3866,11129,,,8121,8121,,,,1,,,,,,,,,,,,,,,,2024
Prod223_4023,08050251,2024-03-30,html,,2024-03-30,08050251,CHUCK STEEL LIMITED,False,3.0,2023-03-31,2023-03-31,,,,51200.0,,,134024.0,134024.0,134024.0,,,134024.0,,,,,,,,,,,,,,,,2024
Prod223_4023,13296615,2024-03-30,html,,2024-03-30,13296615,RED TOP COMMERCIAL INVESTMENTS LIMITED,False,1.0,2024-03-30,2024-03-30,,77907.0,35945.0,113852.0,,,-210869.0,29962.0,-70038.0,,,20.0,,,,,,,,,,,,,,,,2024
Prod223_4022,12623231,2024-03-30,html,,2024-03-30,12623231,HINDSIGHT HOMES LTD,False,0.0,2024-03-30,2024-03-30,343533.0,,,2516.0,1353.0,,1163.0,344696.0,2326.0,,,2326.0,,,,,,,,,,,,,,,,2024
Prod223_4024,10349058,2024-03-30,html,,2024-03-30,10349058,BCO ENTERPRISES LIMITED,False,1,2022-03-31,2022-03-31,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2024
Prod223_4024,10582564,2024-03-30,html,,2024-03-30,10582564,DUSX LIMITED,False,0,2023-03-30,2023-03-30,,,,113613,,,494,394,25051,,,25051,,,,,,,,,,,,,,,,2024
Prod223_4024,14743237,2024-03-31,html,,2024-03-31,14743237,MM MEDIA & ENTERTAINMENT LTD,False,3,2024-03-31,2024-03-31,,,,,,,,,-81,,,-81,,,,,,,,,,,,,,,,2024
Prod223_4024,14750500,2024-03-31,html,,2024-03-31,14750500,GB Plant & Sales Limited,True,,2024-03-31,2024-03-31,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,2024
Prod223_4024,15148596,2024-03-31,html,,2024-03-31,15148596,SHRALEYBROOK BRICKWORK LTD,False,0,2024-03-31,2024-03-31,24000,18043,2549,20592,,,4216,28216,28216,,,28216,,,,,,,,,,,,,,,,2024
Prod223_4024,05385807,2024-03-31,html,,2024-03-31,05385807,LEXICOM TECHNOLOGY LTD,False,5,2024-03-31,2024-03-31,118473,1098555,6421,1104976,,,191577,310050,,,,1000,,,,,,,,,,,,,,,,2024
Prod223_4024,OC328388,2024-03-31,html,,2024-03-31,OC328388,DAWN STORES LLP,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Prod223_4024,OC421985,2024-03-31,html,,2024-03-31,OC421985,BCO ENTERPRISES PARTNERSHIP LLP,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024
Prod223_4024,05069971,2024-03-31,html,,2024-03-31,05069971,STACK DEVELOPMENTS LIMITED,False,2,2024-03-31,2024-03-31,189,37100,1244,54344,,,15759,15948,,,,100,,,,,,,,,,,,,,,,2024
Prod223_4024,01416706,2024-03-31,html,,2024-03-31,01416706,John Thornton (Holdings) Limited,False,0,2024-03-31,2024-03-31,14950,,,315996,,,202298,217248,210176,,,210176,,,,,,,,,,,,,,,,2024
Prod223_4023,15252013,2024-03-31,html,,2024-03-31,15252013,BB&B Holdings Limited,False,18.0,2024-03-31,2024-03-31,830199.0,3492265.0,1818788.0,5321991.0,,,-148260.0,681939.0,331939.0,12.0,41607.0,12.0,,,,,,,,,,,,,,,,2024
Prod223_4022,NI669706,2024-03-31,html,,2024-03-31,NI669706,Neaufort Limited,False,0.0,2023-03-31,2023-03-31,,721.0,102.0,823.0,,,823.0,17198.0,-1958.0,,,100.0,,,,,,,,,,,,,,,,2024
Prod223_4024,11473670,2024-03-31,html,,2024-03-31,11473670,CHRIS BRIANT INDEPENDENT DRIVING TUITION LIMITED,False,1,2023-03-31,2023-03-31,,,,19297,,,4956,4956,87,,,87,,,,,,,,,,,,,,,,2024
Prod223_4024,09475488,2024-03-31,html,,2024-03-31,9475488,SYSPREP DRP Limited,False,1,2024-03-31,2024-03-31,2386.44,,,24301.11,,,-34318.75,-31932.31,-31932.31,,,-31932.31,,,,,,,,,,,,,,,,2024
Prod223_4022,14782727,2024-03-31,html,,2024-03-31,14782727,Perspective Aesthetics Limited,False,0.0,2024-03-31,2024-03-31,,,,,,,-2430.0,-2430.0,-2430.0,,,-2430.0,,,,,,,,,,,,,,,,2024
Prod223_4024,09071573,2024-03-31,html,,2024-03-31,09071573,CAPITAL FLOORING LTD,False,2,2024-03-31,2024-03-31,39029,62468,51774,114242,,,37414,76443,57298,,,2,,,,,,,,,,,,,,,,2024
Prod223_4024,08532248,2024-03-31,html,,2024-03-31,08532248,More Beer Wholesale Limited,True,0,2024-03-31,2024-03-31,7551,,-23490,-23490,,,-96955,-89404,-195951,,,100,,,,,,,,,,,,,,,,2024
Prod223_4024,12898306,2024-03-31,html,,2024-03-31,12898306,GH PROPCO LTD,True,,2023-03-31,2023-03-31,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2024
Prod223_4024,11796118,2024-03-31,html,,2024-03-31,11796118,Joint Venture As Ltd,False,1,2023-03-31,2023-03-31,,6011,-776,5235,,,-5734,-5734,-37400,,,200,,,,,,,,,,,,,,,,2024
Prod223_4024,12898315,2024-03-31,html,,2024-03-31,12898315,PH PROPCO LTD,True,,2023-03-31,2023-03-31,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2024
Prod223_4024,13295730,2024-03-31,html,,2024-03-31,13295730,SX Interiors Ltd,False,1,2023-03-31,2023-03-31,1707,31274,,31274,,,-6156,-4449,-4519,100,-4619,100,,,,,,,,,,,,,,,,2024
